4.8573e-01,2.0513e-01,6.8090e-01
4.8647e-01,2.0620e-01,6.8160e-01
4.8816e-01,2.0609e-01,6.8382e-01
4.8859e-01,2.0330e-01,6.8299e-01
4.8670e-01,2.0255e-01,6.8158e-01
4.8325e-01,2.0235e-01,6.8082e-01
4.8444e-01,2.0275e-01,6.8069e-01
4.8162e-01,2.0162e-01,6.8213e-01
4.8058e-01,2.0240e-01,6.8301e-01
4.7995e-01,2.0334e-01,6.8384e-01
4.8041e-01,2.0542e-01,6.8360e-01
4.8174e-01,2.0429e-01,6.8121e-01
4.8286e-01,2.0468e-01,6.8044e-01
4.8400e-01,2.0545e-01,6.8031e-01
4.8041e-01,2.0080e-01,6.8413e-01
4.8287e-01,2.0047e-01,6.8227e-01
4.8292e-01,1.9967e-01,6.8375e-01
4.8506e-01,2.0107e-01,6.8135e-01
4.8594e-01,1.9980e-01,6.8327e-01
4.8742e-01,2.0071e-01,6.8257e-01
4.8839e-01,1.9980e-01,6.8430e-01
4.8966e-01,2.0083e-01,6.8406e-01
4.5888e-01,2.0088e-01,6.9533e-01
4.5912e-01,2.0358e-01,6.9504e-01
4.5786e-01,2.0317e-01,6.9513e-01
4.6131e-01,2.0507e-01,6.9739e-01
4.5964e-01,2.0558e-01,6.9667e-01
4.5714e-01,2.0488e-01,6.9791e-01
4.5735e-01,2.0477e-01,6.9587e-01
4.5641e-01,2.0282e-01,6.9657e-01
4.5684e-01,2.0138e-01,6.9591e-01
4.6033e-01,2.0353e-01,6.9562e-01
4.6306e-01,2.0334e-01,6.9781e-01
4.6365e-01,2.0128e-01,6.9757e-01
4.5624e-01,2.0360e-01,6.9929e-01
4.5579e-01,2.0238e-01,6.9857e-01
4.5777e-01,2.0559e-01,7.0039e-01
4.5849e-01,2.0606e-01,6.9818e-01
4.6303e-01,2.0650e-01,7.0000e-01
4.5899e-01,2.0652e-01,7.0298e-01
4.5853e-01,2.0510e-01,7.0457e-01
4.6017e-01,2.0603e-01,7.0616e-01
4.5649e-01,2.0349e-01,7.0203e-01
4.5648e-01,2.0219e-01,7.0414e-01
4.5832e-01,2.0347e-01,7.0584e-01
4.6320e-01,2.0092e-01,7.0618e-01
4.5824e-01,1.9951e-01,7.0572e-01
4.5940e-01,1.9895e-01,7.0539e-01
4.6362e-01,1.9931e-01,7.0415e-01
4.5845e-01,1.9729e-01,7.0359e-01
4.6112e-01,1.9813e-01,7.0413e-01
4.6410e-01,1.9717e-01,7.0128e-01
4.6148e-01,1.9648e-01,7.0190e-01
4.5613e-01,1.9696e-01,7.0150e-01
4.5776e-01,1.9655e-01,7.0195e-01
4.5500e-01,1.9808e-01,7.0185e-01
4.5622e-01,1.9736e-01,7.0363e-01
4.5638e-01,1.9853e-01,7.0505e-01
4.5478e-01,1.9867e-01,7.0418e-01
4.5722e-01,2.0053e-01,7.0573e-01
4.5589e-01,2.0044e-01,7.0488e-01
4.5487e-01,2.0053e-01,7.0239e-01
4.5481e-01,1.9921e-01,7.0117e-01
4.5537e-01,2.0055e-01,6.9903e-01
4.5559e-01,1.9887e-01,6.9876e-01
4.6203e-01,2.0052e-01,6.9621e-01
4.5791e-01,1.9978e-01,6.9570e-01
4.6029e-01,2.0099e-01,6.9547e-01
